,season,episode,title,speaker,line,category
243,2,22,Casino Night,Jan,"So, I just wanted to congratulate you on a fantastic evening. You did the company proud.",Logistics
244,2,22,Casino Night,Jan,"And thanks for inviting me. You were right, I needed it. So, thanks.",Interpersonal
245,3,1,Gay Witch Hunt,Toby,"OK I think Oscar would just like if you used ""lame"" or something like that.",Interpersonal
246,3,1,Gay Witch Hunt,Toby,"Apparently you called Oscar ""faggie"" for liking the movie Shakespeare in Love more than an action movie.",Interpersonal
247,3,1,Gay Witch Hunt,Toby,"All right Michael, but Oscar's really gay.",Personal
248,3,1,Gay Witch Hunt,Toby,"No, I mean he's attracted to other men.",Personal
249,3,1,Gay Witch Hunt,Toby,"OK, I am telling you, Oscar is an actual homosexual. Yeah, he told me this morning. And, obviously he hopes he can count on your discretion.",Personal
250,3,1,Gay Witch Hunt,Oscar,"No, I'm not gay. And I don't understand why anyone would think, that I'm gay... if...  Uh... yeah I'm gay.",Personal
251,3,1,Gay Witch Hunt,Oscar,"Yes I'm super cool. I am an accountant at a failing paper supply company, Scranton. Much like, um, sir Ian McClellan.",Humour
252,3,1,Gay Witch Hunt,Angela,"Sure, sometimes I watch Will and Grace... and I want to throw up. It's terribly loud. I do like it sometimes when Harry Connick Jr. is on. He's so talented.",Opinions
253,3,1,Gay Witch Hunt,Jan,"You know, it's amazing to me that in this day and age, you could be so obtuse about sexual orientation.",Interpersonal
254,3,1,Gay Witch Hunt,Toby,"OK, Michael, are you aware that you ousted Oscar today?",Interpersonal
255,3,1,Gay Witch Hunt,Jan,"Coming out, is a significant moment for a gay person, and they should be allowed to select the timing and manner of announcing it.",Personal
256,3,1,Gay Witch Hunt,Toby,"All right, now Oscar's feeling discriminated against by his co-workers, primarily Angela, and um, that's your fault.",HR
257,3,1,Gay Witch Hunt,Jan,"No, it's not possible.",Interpersonal
258,3,1,Gay Witch Hunt,Jan,"You know, imagine... you were gay.",Personal
259,3,1,Gay Witch Hunt,Jan,"Michael, your immaturity is extremely disappointing and may even lead to a lawsuit which is the absolute last thing this company needs right now. Do you understand?",HR
260,3,1,Gay Witch Hunt,Oscar,Am I the first gay man you ever knew?,Personal
261,3,1,Gay Witch Hunt,Angela,Watching some of your friends.,Personal
262,3,1,Gay Witch Hunt,Oscar,"Yes I'm gay. And I didn't plan on sharing that part of my life with you today, so, whatever. Can I sit down now?",Personal
263,3,1,Gay Witch Hunt,Oscar,No one else in this office is gay.,Personal
264,3,1,Gay Witch Hunt,Oscar,You sound pretty defensive Michael.,Interpersonal
265,3,1,Gay Witch Hunt,Oscar,"I don't think I can work here any longer. This has been the worst, most backwards day of my life.",Logistics
266,3,1,Gay Witch Hunt,Oscar,"No, NO! I don't want to touch you, ever consider that? You're ignorant, and insulting, and small!",Interpersonal
267,3,1,Gay Witch Hunt,Oscar,"Michael... I'm sorry. That was a good idea. Come on, come on. ",Interpersonal
268,3,1,Gay Witch Hunt,Oscar,"I was going to quit. But Jan offered me a three month paid vacation and a company car. All I had to do was sign something saying I won't sue. Gill and I are going to Europe. Kids, sometimes it pays to be gay.",Logistics
269,3,2,The Convention,Angela,I know! It... I was just really hoping we could spend some time together.  Are you still there?,Interpersonal
270,3,2,The Convention,Angela,"Don't ""Monkey"" me! You can't wait to get out of here, A. R. M.",Interpersonal
271,3,2,The Convention,Angela,"In the Martin family, we like to say, ""Looks like someone took the slow train from Philly."" That's code for ""check out the slut."" What is... why are there flies in here?",Personal
272,3,2,The Convention,Angela,"That was for per diem, for Philadelphia.",Logistics
273,3,2,The Convention,Jan,"Great, let's dump our stuff and meet back here in half an hour.",Logistics
274,3,2,The Convention,Jan,"Michael, um... Jim and Josh are in meetings all day. And I am in and out of meetings. I can't stay on top of you 24/7.",Logistics
275,3,3,The Coup,Jan,How would a movie increase productivity Michael? How on earth would it do that?,Logistics
