season,episode,title,scene,speaker,line,Unnamed: 6
3,3,The Coup,1324,Jan,How would a movie increase productivity Michael? How on earth would it do that?,
3,3,The Coup,1326,Angela,"Michael is going to get us all fired. You sat back and let him play that dumb movie, and now Jan is peeved off and we're all going to lose our jobs.",
3,3,The Coup,1328,Angela,"It's not up to Michael, it's Jan's call. Talk to her.",
3,3,The Coup,1328,Angela,Fine! Sit back and do nothing and let us all get fired!,
3,3,The Coup,1329,Angela,"I know that patience and loyalty are good, and virtuous traits. But sometimes I just think you need to grow a pair.",
3,3,The Coup,1336,Jan,"You should talk to Michael, and he'll talk to me, and that way we don't have to speak to each other.",
3,3,The Coup,1336,Jan,It's not about a surprise party is it?,
3,3,The Coup,1339,Jan,What would you do differently?,
3,3,The Coup,1339,Jan,"Dwight, you must feel strongly, to speak with me this way, behind Michael's back, and turn on so many of your co-workers.",
3,3,The Coup,1341,Jan,I just had a very interesting conversation with one of your employees.,
3,3,The Coup,1341,Jan,"No, it wasn't. Dwight just told me that he thinks he can run the branch better than you.",
3,3,The Coup,1341,Jan,You can't have people undermining you. Get control of your branch immediately.,
3,4,Grief Counseling,1371,Jan," So, I wanted to let you know that we lost Ed Truck.",
3,4,Grief Counseling,1371,Jan,"Michael, Ed died over the weekend.",
3,4,Grief Counseling,1381,Jan," I understand how you feel, Michael. I really do. So, would it be helpful to give everyone the day off?",
3,4,Grief Counseling,1381,Jan, I'm not sure that's realistic.,
3,4,Grief Counseling,1381,Jan,What the hell are you two talking about?,
3,4,Grief Counseling,1381,Jan,"You know what, Michael? I've really tried with you today...",
3,4,Grief Counseling,1381,Jan,So call me when you feel like having a real conversation.,
3,4,Grief Counseling,1388,Toby,"Michael, look. I know this is hard for you, but death's just a part of life. I mean, just this morning I saw a little bird fly into the glass doors downstairs and die. And I had to keep going.",
3,5,Initiation,1406,Jan,"I'm great. So, Pam I would like you to keep a log of everything Michael does hour by hour so we can analyze it at corporate. Ok?",
3,5,Initiation,1432,Angela,"He's not weird, he's just individualistic.",
